key,Artist,genre,dance,energy,loudness,speechiness,acoustic,live,valence,tempo,popularity,log_popularity
a&t 21 savage,21 Savage,Hiphop,0.9382647999118069,0.5632698768197087,0.8188639395286794,0.0777252203827134,0.0017084361275466688,0.0704283787988798,0.8422381152713504,0.6011111238914641,924481.0,5.965897989935485
admv maluma,Maluma,Other,0.5402932422004189,0.3830805252977706,0.8202534459759894,0.034831219092668245,0.8287734070551962,0.10797635100093352,0.7155027345393353,0.6981561784699617,683662.9,5.8348420128933824
adore you harry styles,Harry Styles,Pop,0.6648660566640945,0.7709457395907564,0.8559359715429079,0.02633842184476457,0.02400842021461845,0.08308266777305258,0.5708876735380731,0.32546958212079735,1544620.72058824,6.188821856461679
africa toto,TOTO,Rock,0.6763801614424474,0.5476602531473755,0.6596666419643286,0.007417759621586756,0.23190069450204073,0.030483237100807904,0.7129902304492123,0.2890794439524006,637962.517381864,5.804795163090403
after party don toliver,Don Toliver,Rap,0.6130525851615037,0.690522243713733,0.7344931080480213,0.014835519243173513,0.009935417989746708,0.6027383051550669,0.44888514934791757,0.6929686331795858,1059926.72222222,6.025275841458556
ain't my fault zara larsson,Zara Larsson,Pop,0.554624627935178,0.7821439478774306,0.8239773232547799,0.006235218232638142,0.007878672524196698,0.2728970023856447,0.3458140513251998,0.5676221258583605,429641.1,5.633105819827035
airplane pt.2 bts,BTS,Pop,0.7673905853819866,0.8177746106077572,0.8443474877723433,0.010857880025800902,0.027149263043783494,0.0644124053521419,0.8832562053007993,0.5608702653584698,645045.0,5.80959001319337
alarm anne-marie,Anne-Marie,Pop,0.7530591996472275,0.5856662933930571,0.8165295686971987,0.223822833799183,0.08226598882009903,0.15983819105901878,0.8254101809002946,0.6008350682662557,408624.666666667,5.611324579315226
algorhythm childish gambino,Childish Gambino,Rap,0.7078602138683717,0.6467474295021888,0.644202979101823,0.09159320576220169,0.03647047402066038,0.05974483974691422,0.4751787968026925,0.33138752458620413,688822.0,5.838107009418336
alive khalid,Khalid,Pop,0.345165913350237,0.3993688282602057,0.6685193419297466,0.020103203612126426,0.842957858541748,0.15465200705321028,0.18805216659655027,0.20796190432372122,877271.0,5.943133773097145
all i want for christmas is you mariah carey,Mariah Carey,Pop,0.4580531363686473,0.6190573144660491,0.759715429079591,0.010986884540958934,0.1712227631429024,0.060180479203402144,0.34244846445098864,0.6195677429001945,2648211.82245342,6.422952720058989
all my friends 21 savage,21 Savage,Hiphop,0.7056553852937933,0.6172248803827751,0.8326478434859939,0.01978069232423135,0.17324911335526696,0.09967845659163986,0.18910391249474126,0.5039970554066645,831243.0,5.919728001079072
all night beyoncã©,BeyoncÃ©,Pop,0.5469077279241538,0.568868980963046,0.7614217429968875,0.06659858095033327,0.39564104916227544,0.07675552328596619,0.6303113167858645,0.5397347565534456,962587.0,5.983439992115505
all the good girls go to hell billie eilish,Billie Eilish,Pop,0.7321133281887333,0.43194543418507586,0.7106769675411294,0.36895291335196734,0.30496187715896217,0.20651384711129553,0.5551114850652084,0.8199312161400522,947183.85,5.9764342844847596
all the time zara larsson,Zara Larsson,Pop,0.6527394995039136,0.7994502697750179,0.87836260560249,0.04074392603741131,0.18236768931090738,0.10693911419977181,0.4983172065628944,0.3423089752585146,650362.5,5.813155491822497
almost (sweet music) hozier,Hozier,Other,0.49619667070885237,0.6854321490379721,0.80241218319253,0.087293055256934,0.021779434981017455,0.18784358469038484,0.7202355910811947,0.2736401384879053,873120.0,5.941073936439071
